"Improved_dw","shared_san_facility","Improved_san","Clean_cookingfuel","Improved_dw_final","electricity","HH_30a","HH02_finished","HH03_finished","HH06_finished","HH02_rudimentary","HH03_rudimentary","HH02_natural","HH03_natural","HH06_natural","Assets01","Assets01b","Assets01c","Assets01d","Assets01e","Assets01f","Assets01h","Assets01i","Assets01j","Assets01m","Assets01n","Assets02a","Assets02b","Assets02c","Assets02d","Assets02e","Assets04a_1","Assets04a_3","Assets04c_1","Assets04d_1","Assets04d_2","Assets04d_3","Assets04e_1","Assets04e_2","Assets04e_3","Assets04f_1","Assets04f_2","Assets04f_3","asset_count","living_conditions_score","asset_score","wealth_pc1","Group","country","comscore"
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,-0.262191709620285,"IWI","SSD",11.8208233198897
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,-0.498585912454653,"IWI","SSD",6.3927593658943
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0.00870533646530045,"IWI","SSD",18.0411386807165
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,-0.225553386201513,"IWI","SSD",12.6621094440829
1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,-0.313649229293194,"IWI","SSD",10.6392600482462
1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,-0.313649229293194,"IWI","SSD",10.6392600482462
1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,3,4,0.50219481626961,"IWI","SSD",29.3726029251193
1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,9,3,3,0.20252135239506,"IWI","SSD",22.4915258609489
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,-0.583188716016055,"IWI","SSD",4.45011685219284
1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,2,-0.269258332313955,"IWI","SSD",11.6585601194386
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1,2,-0.289877365465354,"IWI","SSD",11.1851076012575
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,1,-0.260282978471023,"IWI","SSD",11.86465144522
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,-0.583188716016055,"IWI","SSD",4.45011685219284
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,-0.582082209743396,"IWI","SSD",4.47552435686714
1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0.0707804248709439,"IWI","SSD",19.4665016793677
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,7,1,3,-0.144299445109625,"IWI","SSD",14.5278556572842
1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,-0.411374633511101,"IWI","SSD",8.39529747359492
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,-0.108798937357193,"IWI","SSD",15.3430153531187
1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,3,2,0.133640065954517,"IWI","SSD",20.909879511124
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,-0.0239741916712612,"IWI","SSD",17.2907540833584
1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,-0.240419265092468,"IWI","SSD",12.3207603738226
1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10,3,4,0.373377272089384,"IWI","SSD",26.4147052278698
1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,2,5,0.394064404817411,"IWI","SSD",26.8897214428453
