"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source"
1921,"2023-12-14","Refugee returnees",6.8028314,33.1285505,22.9207104952525,"Fourth","rms"
1922,"2023-12-14","Refugee returnees",6.8028043,33.128417,19.0711610521952,"Middle","rms"
1923,"2023-12-14","Refugee returnees",6.8028716,33.1284763,19.0711610521952,"Middle","rms"
1924,"2023-12-11","IDPs",6.791763,33.1245572,13.2881629686156,"Second","rms"
1926,"2023-12-11","IDPs",6.7921532,33.1248415,18.2330316217534,"Middle","rms"
1927,"2023-12-11","IDPs",6.7916412,33.1246601,19.5291179117333,"Middle","rms"
1928,"2023-12-11","IDPs",6.7915993,33.1246685,19.2812334306107,"Middle","rms"
1930,"2023-12-12","IDPs",6.7921334,33.1305572,5.43584850766048,"Poorest","rms"
1931,"2023-12-11","IDPs",6.7923441,33.1259509,6.61781007964885,"Poorest","rms"
1932,"2023-12-12","IDPs",6.7936195,33.1266249,11.5631324590582,"Second","rms"
1933,"2023-12-12","IDPs",6.7936674,33.1267131,7.27034879781645,"Second","rms"
1934,"2023-12-14","Refugee returnees",6.7950974,33.1319456,41.2908292991554,"Richest","rms"
1935,"2023-12-13","Refugee returnees",6.7923545,33.1324936,18.6784436545369,"Middle","rms"
1936,"2023-12-14","Refugee returnees",6.7955858,33.1308198,22.9207104952525,"Fourth","rms"
1937,"2023-12-14","Refugee returnees",6.7954366,33.1305495,21.1042506076514,"Middle","rms"
1938,"2023-12-13","Refugee returnees",6.7926601,33.134008,18.0533371599182,"Middle","rms"
1939,"2023-12-13","Refugee returnees",6.7926588,33.1316482,6.82788245806439,"Poorest","rms"
1940,"2023-12-13","Refugee returnees",6.7901862,33.1357393,48.9048630286158,"Richest","rms"
1941,"2023-12-13","Refugee returnees",6.7906376,33.1362626,10.4673595227062,"Second","rms"
1942,"2023-12-13","Refugee returnees",6.7928762,33.1374848,22.9207104952525,"Fourth","rms"
1943,"2023-12-14","Refugee returnees",6.8051706,33.1256103,8.40301515398247,"Second","rms"
1944,"2023-12-14","Refugee returnees",6.7923861,33.1358335,11.2043627881825,"Second","rms"
1945,"2023-12-14","Refugee returnees",6.7939006,33.1349773,9.49878809033449,"Second","rms"
1946,"2023-12-14","IDPs",6.8052302,33.1255926,10.4673595227062,"Second","rms"
1947,"2023-12-14","Refugee returnees",6.8050498,33.1279282,47.0964034091923,"Richest","rms"
1948,"2023-12-14","IDPs",6.805293,33.1255086,10.4673595227062,"Second","rms"
1949,"2023-12-14","Refugee returnees",6.8032731,33.1285757,8.80848002537691,"Second","rms"
1950,"2023-12-14","Refugee returnees",6.8024535,33.1284787,7.01098120357855,"Poorest","rms"
1951,"2023-12-14","Refugee returnees",6.8031597,33.1284612,6.93881040373457,"Poorest","rms"
1952,"2023-12-14","Refugee returnees",11.7213858,32.8260034,22.7613053106404,"Fourth","rms"
1953,"2023-12-14","Refugee returnees",11.7208947,32.8262369,22.9154978528271,"Fourth","rms"
1954,"2023-12-14","Refugee returnees",11.7411185,32.817441,24.9146406512119,"Fourth","rms"
1955,"2023-12-14","Refugee returnees",11.7214031,32.825968,22.9154978528271,"Fourth","rms"
1956,"2023-12-14","Refugee returnees",11.7214121,32.8258756,22.9154978528271,"Fourth","rms"
