"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source","living_conditions_score","living_conditions_category"
397,"2023-06-01","refugee",9.9581843,30.2862985,26.3210914387395,"Fourth","fds",1,"Poor"
398,"2023-10-02","refugee",5.3813336,27.2575558,32.3330990374167,"Fourth","fds",1,"Poor"
399,"2023-08-21","refugee",9.9655356,33.5747746,16.2313341801191,"Middle","fds",3,"Good"
400,"2023-04-14","host community member",9.932519,30.2925002,49.2598046899928,"Richest","fds",2,"Good"
401,"2023-05-13","host community member",9.8079309,33.5648836,7.27620681122622,"Poorest","fds",3,"Good"
403,"2023-05-19","refugee",10.1035185,30.0951788,8.99902113851169,"Second","fds",2,"Good"
404,"2023-08-02","host community member",9.939073,30.2870886,21.0701413280928,"Middle","fds",2,"Good"
405,"2023-07-01","refugee",9.908053,30.3677566,29.5169795412912,"Fourth","fds",3,"Good"
407,"2023-07-17","refugee",9.9035288,30.3551122,8.17143485043555,"Poorest","fds",2,"Good"
408,"2023-06-16","refugee",10.1078304,33.5861583,5.93720253519696,"Poorest","fds",1,"Poor"
409,"2023-09-19","refugee",9.9087718,30.3475209,3.00639339944013,"Poorest","fds",3,"Good"
410,"2023-08-21","refugee",9.9555158,33.5734969,4.11254677583147,"Poorest","fds",2,"Good"
411,"2023-10-20","refugee",3.9399379,30.4349478,37.1988726255577,"Richest","fds",2,"Good"
413,"2023-05-22","refugee",4.7590376,28.6980787,44.7686538034674,"Richest","fds",2,"Good"
414,"2023-04-27","host community member",9.9341797,30.2851488,11.6894928626803,"Second","fds",1,"Poor"
415,"2023-07-07","refugee",9.9800891,33.6089081,27.1962802789428,"Fourth","fds",2,"Good"
416,"2023-06-16","refugee",10.1080652,33.587343,12.3394068301416,"Second","fds",2,"Good"
417,"2023-06-07","refugee",4.545392,28.3901853,48.2177612164063,"Richest","fds",1,"Poor"
418,"2023-04-26","refugee",9.9974659,33.7531376,34.8582101917583,"Richest","fds",2,"Good"
419,"2023-08-10","host community member",9.9313248,30.2946793,9.5251460544907,"Second","fds",1,"Poor"
